keyword,date,value
Carlton Lake Bottom logged,05/01/2023 23:00,-10.424
Carlton Lake Bottom logged,06/01/2023 00:00,-10.426
Carlton Lake Bottom logged,06/01/2023 01:00,-10.424
Carlton Lake Bottom logged,06/01/2023 02:00,-10.43
Carlton Lake Bottom logged,06/01/2023 03:00,-10.427
Carlton Lake Bottom logged,06/01/2023 04:00,-10.432
Carlton Lake Bottom logged,06/01/2023 05:00,-10.427
Carlton Lake Bottom logged,06/01/2023 06:00,-10.432
Carlton Lake Bottom logged,06/01/2023 07:00,-10.429
Carlton Lake Bottom logged,06/01/2023 08:00,-10.422
Carlton Lake Bottom logged,06/01/2023 09:00,-10.423
Carlton Lake Bottom logged,06/01/2023 10:00,-10.429
Carlton Lake Bottom logged,06/01/2023 11:00,-10.435
Carlton Lake Bottom logged,06/01/2023 12:00,-10.438
Carlton Lake Bottom logged,06/01/2023 13:00,-10.439
Carlton Lake Bottom logged,06/01/2023 14:00,-10.436
Carlton Lake Bottom logged,06/01/2023 15:00,-10.436
Carlton Lake Bottom logged,06/01/2023 16:00,-10.434
Carlton Lake Bottom logged,06/01/2023 17:00,-10.432
Carlton Lake Bottom logged,06/01/2023 18:00,-10.426
Carlton Lake Bottom logged,06/01/2023 19:00,-10.413
Carlton Lake Bottom logged,06/01/2023 20:00,-10.401
Carlton Lake Bottom logged,06/01/2023 21:00,-10.399
Carlton Lake Bottom logged,06/01/2023 22:00,-10.399
Carlton Lake Bottom logged,06/01/2023 23:00,-10.397
Carlton Lake Bottom logged,07/01/2023 00:00,-10.393
Carlton Lake Bottom logged,07/01/2023 01:00,-10.386
Carlton Lake Bottom logged,07/01/2023 02:00,-10.375
Carlton Lake Bottom logged,07/01/2023 03:00,-10.368
Carlton Lake Bottom logged,07/01/2023 04:00,-10.357
Carlton Lake Bottom logged,07/01/2023 05:00,-10.348
Carlton Lake Bottom logged,07/01/2023 06:00,-10.338
Carlton Lake Bottom logged,07/01/2023 07:00,-10.322
Carlton Lake Bottom logged,07/01/2023 08:00,-10.304
Carlton Lake Bottom logged,07/01/2023 09:00,-10.297
Carlton Lake Bottom logged,07/01/2023 10:00,-10.293
Carlton Lake Bottom logged,07/01/2023 11:00,-10.292
Carlton Lake Bottom logged,07/01/2023 12:00,-10.289
Carlton Lake Bottom logged,07/01/2023 13:00,-10.287
Carlton Lake Bottom logged,07/01/2023 14:00,-10.282
Carlton Lake Bottom logged,07/01/2023 15:00,-10.28
Carlton Lake Bottom logged,07/01/2023 16:00,-10.275
Carlton Lake Bottom logged,07/01/2023 17:00,-10.271
Carlton Lake Bottom logged,07/01/2023 18:00,-10.266
Carlton Lake Bottom logged,07/01/2023 19:00,-10.261
Carlton Lake Bottom logged,07/01/2023 20:00,-10.254
Carlton Lake Bottom logged,07/01/2023 21:00,-10.247
Carlton Lake Bottom logged,07/01/2023 22:00,-10.253
Carlton Lake Bottom logged,07/01/2023 23:00,-10.259
Carlton Lake Bottom logged,08/01/2023 00:00,-10.262
Carlton Lake Bottom logged,08/01/2023 01:00,-10.265
Carlton Lake Bottom logged,08/01/2023 02:00,-10.264
Carlton Lake Bottom logged,08/01/2023 03:00,-10.262
Carlton Lake Bottom logged,08/01/2023 04:00,-10.262
Carlton Lake Bottom logged,08/01/2023 05:00,-10.261
Carlton Lake Bottom logged,08/01/2023 06:00,-10.261
Carlton Lake Bottom logged,08/01/2023 07:00,-10.258
Carlton Lake Bottom logged,08/01/2023 08:00,-10.252
Carlton Lake Bottom logged,08/01/2023 09:00,-10.245
Carlton Lake Bottom logged,08/01/2023 10:00,-10.245
Carlton Lake Bottom logged,08/01/2023 11:00,-10.248
Carlton Lake Bottom logged,08/01/2023 12:00,-10.246
Carlton Lake Bottom logged,08/01/2023 13:00,-10.239
Carlton Lake Bottom logged,08/01/2023 14:00,-10.235
Carlton Lake Bottom logged,08/01/2023 15:00,-10.233
Carlton Lake Bottom logged,08/01/2023 16:00,-10.232
Carlton Lake Bottom logged,08/01/2023 17:00,-10.232
Carlton Lake Bottom logged,08/01/2023 18:00,-10.232
Carlton Lake Bottom logged,08/01/2023 19:00,-10.231
Carlton Lake Bottom logged,08/01/2023 20:00,-10.222
Carlton Lake Bottom logged,08/01/2023 21:00,-10.217
Carlton Lake Bottom logged,08/01/2023 22:00,-10.222
Carlton Lake Bottom logged,08/01/2023 23:00,-10.231
Carlton Lake Bottom logged,09/01/2023 00:00,-10.239
Carlton Lake Bottom logged,09/01/2023 01:00,-10.247
Carlton Lake Bottom logged,09/01/2023 02:00,-10.253
Carlton Lake Bottom logged,09/01/2023 03:00,-10.257
Carlton Lake Bottom logged,09/01/2023 04:00,-10.263
Carlton Lake Bottom logged,09/01/2023 05:00,-10.269
Carlton Lake Bottom logged,09/01/2023 06:00,-10.276
Carlton Lake Bottom logged,09/01/2023 07:00,-10.282
Carlton Lake Bottom logged,09/01/2023 08:00,-10.28
Carlton Lake Bottom logged,09/01/2023 09:00,-10.278
Carlton Lake Bottom logged,09/01/2023 10:00,-10.288
Carlton Lake Bottom logged,09/01/2023 11:00,-10.312
Carlton Lake Bottom logged,09/01/2023 12:00,-10.327
Carlton Lake Bottom logged,09/01/2023 13:00,-10.343
Carlton Lake Bottom logged,09/01/2023 14:00,-10.355
Carlton Lake Bottom logged,09/01/2023 15:00,-10.368
Carlton Lake Bottom logged,09/01/2023 16:00,-10.378
Carlton Lake Bottom logged,09/01/2023 17:00,-10.389
Carlton Lake Bottom logged,09/01/2023 18:00,-10.398
Carlton Lake Bottom logged,09/01/2023 19:00,-10.408
Carlton Lake Bottom logged,09/01/2023 20:00,-10.413
Carlton Lake Bottom logged,09/01/2023 21:00,-10.41
Carlton Lake Bottom logged,09/01/2023 22:00,-10.418
Carlton Lake Bottom logged,09/01/2023 23:00,-10.434
Carlton Lake Bottom logged,10/01/2023 00:00,-10.449
Carlton Lake Bottom logged,10/01/2023 01:00,-10.46
Carlton Lake Bottom logged,10/01/2023 02:00,-10.468
Carlton Lake Bottom logged,10/01/2023 03:00,-10.47
Carlton Lake Bottom logged,10/01/2023 04:00,-10.473
Carlton Lake Bottom logged,10/01/2023 05:00,-10.474
Carlton Lake Bottom logged,10/01/2023 06:00,-10.47
Carlton Lake Bottom logged,10/01/2023 07:00,-10.465
Carlton Lake Bottom logged,10/01/2023 08:00,-10.459
Carlton Lake Bottom logged,10/01/2023 09:00,-10.439
Carlton Lake Bottom logged,10/01/2023 10:00,-10.413
Carlton Lake Bottom logged,10/01/2023 11:00,-10.401
Carlton Lake Bottom logged,10/01/2023 12:00,-10.391
Carlton Lake Bottom logged,10/01/2023 13:00,-10.383
Carlton Lake Bottom logged,10/01/2023 14:00,-10.373
Carlton Lake Bottom logged,10/01/2023 15:00,-10.363
Carlton Lake Bottom logged,10/01/2023 16:00,-10.356
Carlton Lake Bottom logged,10/01/2023 17:00,-10.348
Carlton Lake Bottom logged,10/01/2023 18:00,-10.337
Carlton Lake Bottom logged,10/01/2023 19:00,-10.327
Carlton Lake Bottom logged,10/01/2023 20:00,-10.325
Carlton Lake Bottom logged,10/01/2023 21:00,-10.326
Carlton Lake Bottom logged,10/01/2023 22:00,-10.329
Carlton Lake Bottom logged,10/01/2023 23:00,-10.333
Carlton Lake Bottom logged,11/01/2023 00:00,-10.344
Carlton Lake Bottom logged,11/01/2023 01:00,-10.356
Carlton Lake Bottom logged,11/01/2023 02:00,-10.364
Carlton Lake Bottom logged,11/01/2023 03:00,-10.371
Carlton Lake Bottom logged,11/01/2023 04:00,-10.374
Carlton Lake Bottom logged,11/01/2023 05:00,-10.378
Carlton Lake Bottom logged,11/01/2023 06:00,-10.38
Carlton Lake Bottom logged,11/01/2023 07:00,-10.381
Carlton Lake Bottom logged,11/01/2023 08:00,-10.383
Carlton Lake Bottom logged,11/01/2023 09:00,-10.386
Carlton Lake Bottom logged,11/01/2023 10:00,-10.383
Carlton Lake Bottom logged,11/01/2023 11:00,-10.378
Carlton Lake Bottom logged,11/01/2023 12:00,-10.376
Carlton Lake Bottom logged,11/01/2023 13:00,-10.375
Carlton Lake Bottom logged,11/01/2023 14:00,-10.375
Carlton Lake Bottom logged,11/01/2023 15:00,-10.372
Carlton Lake Bottom logged,11/01/2023 16:00,-10.373
Carlton Lake Bottom logged,11/01/2023 17:00,-10.378
Carlton Lake Bottom logged,11/01/2023 18:00,-10.382
Carlton Lake Bottom logged,11/01/2023 19:00,-10.388
Carlton Lake Bottom logged,11/01/2023 20:00,-10.39
Carlton Lake Bottom logged,11/01/2023 21:00,-10.389
Carlton Lake Bottom logged,11/01/2023 22:00,-10.382
Carlton Lake Bottom logged,11/01/2023 23:00,-10.372
Carlton Lake Bottom logged,12/01/2023 00:00,-10.357
Carlton Lake Bottom logged,12/01/2023 01:00,-10.344
Carlton Lake Bottom logged,12/01/2023 02:00,-10.336
Carlton Lake Bottom logged,12/01/2023 03:00,-10.333
Carlton Lake Bottom logged,12/01/2023 04:00,-10.339
Carlton Lake Bottom logged,12/01/2023 05:00,-10.344
Carlton Lake Bottom logged,12/01/2023 06:00,-10.348
Carlton Lake Bottom logged,12/01/2023 07:00,-10.35
Carlton Lake Bottom logged,12/01/2023 08:00,-10.353
Carlton Lake Bottom logged,12/01/2023 09:00,-10.353
Carlton Lake Bottom logged,12/01/2023 10:00,-10.352
Carlton Lake Bottom logged,12/01/2023 11:00,-10.342
Carlton Lake Bottom logged,12/01/2023 12:00,-10.332
Carlton Lake Bottom logged,12/01/2023 13:00,-10.324
Carlton Lake Bottom logged,12/01/2023 14:00,-10.322
Carlton Lake Bottom logged,12/01/2023 15:00,-10.325
Carlton Lake Bottom logged,12/01/2023 16:00,-10.325
Carlton Lake Bottom logged,12/01/2023 17:00,-10.327
Carlton Lake Bottom logged,12/01/2023 18:00,-10.327
Carlton Lake Bottom logged,12/01/2023 19:00,-10.324
Carlton Lake Bottom logged,12/01/2023 20:00,-10.319
Carlton Lake Bottom logged,12/01/2023 21:00,-10.314
Carlton Lake Bottom logged,12/01/2023 22:00,-10.308
Carlton Lake Bottom logged,12/01/2023 23:00,-10.3
Carlton Lake Bottom logged,13/01/2023 00:00,-10.295
Carlton Lake Bottom logged,13/01/2023 01:00,-10.298
Carlton Lake Bottom logged,13/01/2023 02:00,-10.303
Carlton Lake Bottom logged,13/01/2023 03:00,-10.304
Carlton Lake Bottom logged,13/01/2023 04:00,-10.311
Carlton Lake Bottom logged,13/01/2023 05:00,-10.319
Carlton Lake Bottom logged,13/01/2023 06:00,-10.329
Carlton Lake Bottom logged,13/01/2023 07:00,-10.34
Carlton Lake Bottom logged,13/01/2023 08:00,-10.351
Carlton Lake Bottom logged,13/01/2023 09:00,-10.362
Carlton Lake Bottom logged,13/01/2023 10:00,-10.372
Carlton Lake Bottom logged,13/01/2023 11:00,-10.383
Carlton Lake Bottom logged,13/01/2023 12:00,-10.389
Carlton Lake Bottom logged,13/01/2023 13:00,-10.396
Carlton Lake Bottom logged,13/01/2023 14:00,-10.407
Carlton Lake Bottom logged,13/01/2023 15:00,-10.418
Carlton Lake Bottom logged,13/01/2023 16:00,-10.431
Carlton Lake Bottom logged,13/01/2023 17:00,-10.441
Carlton Lake Bottom logged,13/01/2023 18:00,-10.453
Carlton Lake Bottom logged,13/01/2023 19:00,-10.46
Carlton Lake Bottom logged,13/01/2023 20:00,-10.465
Carlton Lake Bottom logged,13/01/2023 21:00,-10.469
Carlton Lake Bottom logged,13/01/2023 22:00,-10.465
Carlton Lake Bottom logged,13/01/2023 23:00,-10.46
Carlton Lake Bottom logged,14/01/2023 00:00,-10.453
Carlton Lake Bottom logged,14/01/2023 01:00,-10.447
Carlton Lake Bottom logged,14/01/2023 02:00,-10.437
Carlton Lake Bottom logged,14/01/2023 03:00,-10.425
Carlton Lake Bottom logged,14/01/2023 04:00,-10.409
Carlton Lake Bottom logged,14/01/2023 05:00,-10.39
Carlton Lake Bottom logged,14/01/2023 06:00,-10.37
Carlton Lake Bottom logged,14/01/2023 07:00,-10.35
Carlton Lake Bottom logged,14/01/2023 08:00,-10.335
Carlton Lake Bottom logged,14/01/2023 09:00,-10.325
Carlton Lake Bottom logged,14/01/2023 10:00,-10.321
Carlton Lake Bottom logged,14/01/2023 11:00,-10.322
Carlton Lake Bottom logged,14/01/2023 12:00,-10.321
Carlton Lake Bottom logged,14/01/2023 13:00,-10.315
Carlton Lake Bottom logged,14/01/2023 14:00,-10.315
Carlton Lake Bottom logged,14/01/2023 15:00,-10.318
Carlton Lake Bottom logged,14/01/2023 16:00,-10.317
Carlton Lake Bottom logged,14/01/2023 17:00,-10.319
Carlton Lake Bottom logged,14/01/2023 18:00,-10.32
Carlton Lake Bottom logged,14/01/2023 19:00,-10.32
Carlton Lake Bottom logged,14/01/2023 20:00,-10.32
Carlton Lake Bottom logged,14/01/2023 21:00,-10.319
Carlton Lake Bottom logged,14/01/2023 22:00,-10.317
Carlton Lake Bottom logged,14/01/2023 23:00,-10.316
Carlton Lake Bottom logged,15/01/2023 00:00,-10.31
Carlton Lake Bottom logged,15/01/2023 01:00,-10.31
Carlton Lake Bottom logged,15/01/2023 02:00,-10.306
Carlton Lake Bottom logged,15/01/2023 03:00,-10.304
Carlton Lake Bottom logged,15/01/2023 04:00,-10.304
Carlton Lake Bottom logged,15/01/2023 05:00,-10.3
Carlton Lake Bottom logged,15/01/2023 06:00,-10.299
Carlton Lake Bottom logged,15/01/2023 07:00,-10.3
Carlton Lake Bottom logged,15/01/2023 08:00,-10.305
Carlton Lake Bottom logged,15/01/2023 09:00,-10.31
Carlton Lake Bottom logged,15/01/2023 10:00,-10.318
Carlton Lake Bottom logged,15/01/2023 11:00,-10.326
Carlton Lake Bottom logged,15/01/2023 12:00,-10.331
Carlton Lake Bottom logged,15/01/2023 13:00,-10.329
Carlton Lake Bottom logged,15/01/2023 14:00,-10.331
Carlton Lake Bottom logged,15/01/2023 15:00,-10.334
Carlton Lake Bottom logged,15/01/2023 16:00,-10.34
Carlton Lake Bottom logged,15/01/2023 17:00,-10.342
Carlton Lake Bottom logged,15/01/2023 18:00,-10.345
Carlton Lake Bottom logged,15/01/2023 19:00,-10.345
Carlton Lake Bottom logged,15/01/2023 20:00,-10.343
Carlton Lake Bottom logged,15/01/2023 21:00,-10.339
Carlton Lake Bottom logged,15/01/2023 22:00,-10.335
Carlton Lake Bottom logged,15/01/2023 23:00,-10.325
Carlton Lake Bottom logged,16/01/2023 00:00,-10.316
Carlton Lake Bottom logged,16/01/2023 01:00,-10.308
Carlton Lake Bottom logged,16/01/2023 02:00,-10.297
Carlton Lake Bottom logged,16/01/2023 03:00,-10.293
Carlton Lake Bottom logged,16/01/2023 04:00,-10.291
Carlton Lake Bottom logged,16/01/2023 05:00,-10.289
Carlton Lake Bottom logged,16/01/2023 06:00,-10.286
Carlton Lake Bottom logged,16/01/2023 07:00,-10.285
Carlton Lake Bottom logged,16/01/2023 08:00,-10.284
Carlton Lake Bottom logged,16/01/2023 09:00,-10.286
Carlton Lake Bottom logged,16/01/2023 10:00,-10.287
Carlton Lake Bottom logged,16/01/2023 11:00,-10.291
Carlton Lake Bottom logged,16/01/2023 12:00,-10.292
Carlton Lake Bottom logged,16/01/2023 13:00,-10.293
Carlton Lake Bottom logged,16/01/2023 14:00,-10.291
Carlton Lake Bottom logged,16/01/2023 15:00,-10.292
Carlton Lake Bottom logged,16/01/2023 16:00,-10.295
Carlton Lake Bottom logged,16/01/2023 17:00,-10.296
Carlton Lake Bottom logged,16/01/2023 18:00,-10.298
Carlton Lake Bottom logged,16/01/2023 19:00,-10.298
Carlton Lake Bottom logged,16/01/2023 20:00,-10.297
Carlton Lake Bottom logged,16/01/2023 21:00,-10.297
Carlton Lake Bottom logged,16/01/2023 22:00,-10.295
Carlton Lake Bottom logged,16/01/2023 23:00,-10.293
Carlton Lake Bottom logged,17/01/2023 00:00,-10.292
Carlton Lake Bottom logged,17/01/2023 01:00,-10.291
Carlton Lake Bottom logged,17/01/2023 02:00,-10.285
Carlton Lake Bottom logged,17/01/2023 03:00,-10.283
Carlton Lake Bottom logged,17/01/2023 04:00,-10.283
Carlton Lake Bottom logged,17/01/2023 05:00,-10.285
Carlton Lake Bottom logged,17/01/2023 06:00,-10.287
Carlton Lake Bottom logged,17/01/2023 07:00,-10.29
Carlton Lake Bottom logged,17/01/2023 08:00,-10.293
Carlton Lake Bottom logged,17/01/2023 09:00,-10.297
Carlton Lake Bottom logged,17/01/2023 10:00,-10.301
Carlton Lake Bottom logged,17/01/2023 11:00,-10.305
Carlton Lake Bottom logged,17/01/2023 12:00,-10.306
Carlton Lake Bottom logged,17/01/2023 13:00,-10.305
Carlton Lake Bottom logged,17/01/2023 14:00,-10.307
Carlton Lake Bottom logged,17/01/2023 14:15,-10.286
Carlton Lake Bottom logged,17/01/2023 14:30,-10.285
Carlton Lake Bottom logged,17/01/2023 14:45,-10.284
Carlton Lake Bottom logged,17/01/2023 15:00,-15.36
Carlton Lake Bottom logged,17/01/2023 15:15,-10.281
Carlton Lake Bottom logged,17/01/2023 15:30,-10.28
Carlton Lake Bottom logged,17/01/2023 15:45,-10.279
Carlton Lake Bottom logged,17/01/2023 16:00,-10.297
Carlton Lake Bottom logged,17/01/2023 17:00,-10.301
Carlton Lake Bottom logged,17/01/2023 18:00,-10.307
Carlton Lake Bottom logged,17/01/2023 19:00,-10.312
Carlton Lake Bottom logged,17/01/2023 20:00,-10.314
Carlton Lake Bottom logged,17/01/2023 21:00,-10.319
Carlton Lake Bottom logged,17/01/2023 22:00,-10.319
Carlton Lake Bottom logged,17/01/2023 23:00,-10.321
Carlton Lake Bottom logged,18/01/2023 00:00,-10.32
Carlton Lake Bottom logged,18/01/2023 01:00,-10.32
Carlton Lake Bottom logged,18/01/2023 02:00,-10.317
Carlton Lake Bottom logged,18/01/2023 03:00,-10.312
Carlton Lake Bottom logged,18/01/2023 04:00,-10.306
Carlton Lake Bottom logged,18/01/2023 05:00,-10.311
Carlton Lake Bottom logged,18/01/2023 06:00,-10.316
Carlton Lake Bottom logged,18/01/2023 07:00,-10.324
Carlton Lake Bottom logged,18/01/2023 08:00,-10.332
Carlton Lake Bottom logged,18/01/2023 09:00,-10.342
Carlton Lake Bottom logged,18/01/2023 10:00,-10.35
Carlton Lake Bottom logged,18/01/2023 11:00,-10.359
Carlton Lake Bottom logged,18/01/2023 12:00,-10.367
Carlton Lake Bottom logged,18/01/2023 13:00,-10.375
Carlton Lake Bottom logged,18/01/2023 14:00,-10.381
Carlton Lake Bottom logged,18/01/2023 15:00,-10.387
Carlton Lake Bottom logged,18/01/2023 16:00,-10.385
Carlton Lake Bottom logged,18/01/2023 17:00,-10.389
Carlton Lake Bottom logged,18/01/2023 18:00,-10.4
Carlton Lake Bottom logged,18/01/2023 19:00,-10.415
Carlton Lake Bottom logged,18/01/2023 20:00,-10.425
Carlton Lake Bottom logged,18/01/2023 21:00,-10.434
Carlton Lake Bottom logged,18/01/2023 22:00,-10.442
Carlton Lake Bottom logged,18/01/2023 23:00,-10.447
Carlton Lake Bottom logged,19/01/2023 00:00,-10.453
Carlton Lake Bottom logged,19/01/2023 01:00,-10.454
Carlton Lake Bottom logged,19/01/2023 02:00,-10.453
Carlton Lake Bottom logged,19/01/2023 03:00,-10.454
Carlton Lake Bottom logged,19/01/2023 04:00,-10.445
Carlton Lake Bottom logged,19/01/2023 05:00,-10.442
Carlton Lake Bottom logged,19/01/2023 06:00,-10.439
Carlton Lake Bottom logged,19/01/2023 07:00,-10.444
Carlton Lake Bottom logged,19/01/2023 08:00,-10.451
Carlton Lake Bottom logged,19/01/2023 09:00,-10.459
Carlton Lake Bottom logged,19/01/2023 10:00,-10.465
Carlton Lake Bottom logged,19/01/2023 11:00,-10.471
Carlton Lake Bottom logged,19/01/2023 12:00,-10.476
Carlton Lake Bottom logged,19/01/2023 13:00,-10.476
Carlton Lake Bottom logged,19/01/2023 14:00,-10.477
Carlton Lake Bottom logged,19/01/2023 15:00,-10.479
Carlton Lake Bottom logged,19/01/2023 16:00,-10.481
Carlton Lake Bottom logged,19/01/2023 17:00,-10.473
Carlton Lake Bottom logged,19/01/2023 18:00,-10.47
Carlton Lake Bottom logged,19/01/2023 19:00,-10.475
Carlton Lake Bottom logged,19/01/2023 20:00,-10.485
Carlton Lake Bottom logged,19/01/2023 21:00,-10.496
Carlton Lake Bottom logged,19/01/2023 22:00,-10.503
Carlton Lake Bottom logged,19/01/2023 23:00,-10.51
Carlton Lake Bottom logged,20/01/2023 00:00,-10.516
Carlton Lake Bottom logged,20/01/2023 01:00,-10.519
Carlton Lake Bottom logged,20/01/2023 02:00,-10.522
Carlton Lake Bottom logged,20/01/2023 03:00,-10.526
